Transcription factor,Promoter,GENE NAME
AT5G13790,AT2G22420,PRX17
AT4G37260,AT2G28110,"FRA8,IRX7"
AT1G36060,AT2G37090,IRX9
AT2G23340,AT2G37090,IRX9
AT4G37260,AT2G37090,IRX9
AT3G15210,AT2G37090,IRX9
AT3G04060,AT2G37090,IRX9
AT3G02940,AT2G37090,IRX9
AT3G11580,AT2G37090,IRX9
AT1G06180,AT2G37090,IRX9
AT1G56650,AT2G37090,IRX9
AT3G60530,AT3G18660,"GUX1,PGSIP1"
AT4G37260,AT3G18660,"GUX1,PGSIP1"
AT1G21910,AT3G18660,"GUX1,PGSIP1"
AT5G12870,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2"
AT4G37260,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2"
AT5G39610,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2"
AT5G47220,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2"
AT5G53950,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2"
AT1G79840,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2"
AT5G13330,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2"
AT5G25890,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2"
AT1G56650,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2"
AT5G61590,AT5G15630,"COBL4,IRX6"
AT4G37260,AT5G15630,"COBL4,IRX6"
AT5G47230,AT5G15630,"COBL4,IRX6"
AT3G15210,AT5G15630,"COBL4,IRX6"
AT1G21910,AT5G15630,"COBL4,IRX6"
AT5G47220,AT5G15630,"COBL4,IRX6"
AT5G13910,AT5G15630,"COBL4,IRX6"
AT1G28370,AT5G15630,"COBL4,IRX6"
AT3G18400,AT5G15630,"COBL4,IRX6"
AT3G25730,AT5G15630,"COBL4,IRX6"
AT1G75490,AT5G15630,"COBL4,IRX6"
AT2G44940,AT5G15630,"COBL4,IRX6"
AT4G37260,AT5G17420,"ATCESA7,CESA7,IRX3,MUR10"
AT1G21910,AT5G17420,"ATCESA7,CESA7,IRX3,MUR10"
AT1G75490,AT5G17420,"ATCESA7,CESA7,IRX3,MUR10"
AT3G15210,AT5G17420,"ATCESA7,CESA7,IRX3,MUR10"
AT3G16770,AT5G17420,"ATCESA7,CESA7,IRX3,MUR10"
AT5G13330,AT5G17420,"ATCESA7,CESA7,IRX3,MUR10"
AT5G47220,AT5G17420,"ATCESA7,CESA7,IRX3,MUR10"
AT5G53950,AT5G17420,"ATCESA7,CESA7,IRX3,MUR10"
AT1G44830,AT5G17420,"ATCESA7,CESA7,IRX3,MUR10"
AT1G06180,AT5G17420,"ATCESA7,CESA7,IRX3,MUR10"
AT2G44940,AT5G17420,"ATCESA7,CESA7,IRX3,MUR10"
AT5G61420,AT5G17420,"ATCESA7,CESA7,IRX3,MUR10"
AT5G12870,AT5G17420,"ATCESA7,CESA7,IRX3,MUR10"
AT5G39610,AT5G17420,"ATCESA7,CESA7,IRX3,MUR10"
AT1G56650,AT5G17420,"ATCESA7,CESA7,IRX3,MUR10"
AT5G53950,AT5G44030,"CESA4,IRX5,NWS2"
AT5G47220,AT5G44030,"CESA4,IRX5,NWS2"
AT5G39610,AT5G44030,"CESA4,IRX5,NWS2"
AT5G12870,AT5G44030,"CESA4,IRX5,NWS2"
AT4G37260,AT5G44030,"CESA4,IRX5,NWS2"
AT1G75490,AT5G44030,"CESA4,IRX5,NWS2"
AT1G56650,AT5G44030,"CESA4,IRX5,NWS2"
